max_depth,max_bins,interaction_cst,learning_rate,l2_regularization,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
12.0,255.0,pairwise,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.537625,0.564351,0.564351,0.529091,0.513386,0.513386,434178136591177.56,443658264683855.2,443658264683855.2,1.71,19260817.0,0.515873,0.583857,0.583857
12.0,255.0,pairwise,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals']",0.7765535537689908,0.554483,0.573535,0.573535,0.519357,0.507945,0.507945,446851593994280.06,470819249688406.44,470819249688406.44,1.71,19260817.0,0.540363,0.587002,0.587002
12.0,255.0,pairwise,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances']",0.7919471007529546,0.563564,0.575542,0.575542,0.514036,0.506748,0.506748,440433042952249.94,476851495362734.4,476851495362734.4,2.94,19260817.0,0.542404,0.56499,0.56499
12.0,255.0,pairwise,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts']",0.8049857274440886,0.567563,0.576341,0.576341,0.511676,0.506272,0.506272,443152902262439.8,480339849415407.0,480339849415407.0,1.89,19260817.0,0.547166,0.566038,0.566038
12.0,255.0,pairwise,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances']",0.8175406880045384,0.567211,0.578887,0.578887,0.511884,0.504748,0.504748,448088149963034.9,482703230119694.6,482703230119694.6,2.07,19260817.0,0.542404,0.573375,0.573375
12.0,255.0,pairwise,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.571642,0.576927,0.576927,0.509257,0.505921,0.505921,452072912512099.5,491048669663114.06,491048669663114.06,4.02,19260817.0,0.55102,0.578616,0.578616
12.0,255.0,pairwise,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts']",0.8421594803742163,0.577039,0.574611,0.574611,0.506038,0.507304,0.507304,450704296310401.4,495763594203498.3,495763594203498.3,2.2,19260817.0,0.547392,0.563941,0.563941
12.0,255.0,pairwise,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs']",0.8541358029977908,0.576945,0.575588,0.575588,0.506094,0.506721,0.506721,457677751735346.9,501958692508752.2,501958692508752.2,2.29,19260817.0,0.544671,0.572327,0.572327
12.0,255.0,pairwise,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds']",0.8659768297633487,0.578834,0.572831,0.572831,0.504964,0.508364,0.508364,460189991954981.3,511540009638564.7,511540009638564.7,6.14,19260817.0,0.544898,0.557652,0.557652
12.0,255.0,pairwise,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks']",0.8764627957636986,0.578908,0.573907,0.573907,0.504919,0.507724,0.507724,457260147024901.25,507135646448393.56,507135646448393.56,4.39,19260817.0,0.54263,0.571279,0.571279
12.0,255.0,pairwise,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.581125,0.571984,0.571984,0.503588,0.508868,0.508868,456484958852240.75,507036191642619.2,507036191642619.2,2.56,19260817.0,0.536054,0.569182,0.569182
12.0,255.0,pairwise,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals']",0.8934391461254398,0.582559,0.568585,0.568585,0.502725,0.510885,0.510885,456406811636633.3,507107673812149.6,507107673812149.6,2.58,19260817.0,0.542177,0.574423,0.574423
12.0,255.0,pairwise,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances']",0.9003977265227703,0.583479,0.570236,0.570236,0.502171,0.509906,0.509906,455440840633394.06,505125474987015.0,505125474987015.0,3.49,19260817.0,0.548753,0.559748,0.559748
12.0,255.0,pairwise,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50']",0.906940299335011,0.582441,0.570121,0.570121,0.502796,0.509974,0.509974,460254233266346.25,507569262644880.06,507569262644880.06,4.65,19260817.0,0.54263,0.569182,0.569182
12.0,255.0,pairwise,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s']",0.9130469708326392,0.582226,0.571287,0.571287,0.502926,0.509282,0.509282,459090276601417.44,504124661992205.5,504124661992205.5,2.81,19260817.0,0.549206,0.578616,0.578616
12.0,255.0,pairwise,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.584119,0.572192,0.572192,0.501785,0.508745,0.508745,460041667928191.1,506547063434824.3,506547063434824.3,2.84,19260817.0,0.542404,0.572327,0.572327
12.0,255.0,pairwise,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists']",0.9248985490429719,0.584011,0.57266,0.57266,0.50185,0.508466,0.508466,458585198523164.75,505059259515828.94,505059259515828.94,4.85,19260817.0,0.543764,0.569182,0.569182
12.0,255.0,pairwise,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions']",0.9306217431588558,0.58341,0.573769,0.573769,0.502213,0.507806,0.507806,459841733140580.2,507516688951208.7,507516688951208.7,3.05,19260817.0,0.543991,0.571279,0.571279
12.0,255.0,pairwise,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains']",0.9362167668092989,0.583801,0.573065,0.573065,0.501977,0.508225,0.508225,461885503254033.2,509553975888400.0,509553975888400.0,3.12,19260817.0,0.543311,0.571279,0.571279
12.0,255.0,pairwise,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s']",0.9417404842109905,0.58451,0.573508,0.573508,0.501549,0.507962,0.507962,457477714559276.25,503675687400996.3,503675687400996.3,3.21,19260817.0,0.537868,0.566038,0.566038
12.0,255.0,pairwise,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.583643,0.573402,0.573402,0.502072,0.508025,0.508025,461562388971658.9,509305322443770.7,509305322443770.7,3.67,19260817.0,0.539002,0.56499,0.56499
